,0
0,Connecticut
1,Idaho
2,Iowa
3,Kansas
4,Kentucky
5,Louisiana
6,Maine
7,Maryland
8,Massachusetts
9,Michigan
10,Minnesota
11,Mississippi
12,Missouri
13,Montana
14,Nebraska
15,Nevada
16,New Hampshire
17,New Jersey
18,New Mexico
19,New York
20,North Carolina
21,North Dakota
22,Ohio
23,Oklahoma
24,Oregon
25,Pennsylvania
26,Rhode Island
27,South Carolina
28,South Dakota
29,Tennessee
30,Texas
31,Utah
32,Vermont
33,Virginia
34,Washington
35,West Virginia
36,Wisconsin
37,Wyoming
